Account Name,CAPdb Rating,# of Cars Sold Per Month*,Vehicles in Inventory*,# of Salespeople employed*,Single or Multi Point Store*,Current DMS being Utilized*,Current DMS being Utilized (If Other)
5 Star Auto Repair,D,15-Jan,30,0-5,Single,Frazer,
5 Star Auto Sales,,,,,,,
5 Star Auto Sales,A,50+,170,0-5,Single,Wayne Reaves,
5 Star Auto Sales,D,15-Jan,30,0-5,Single,Adams,
5 Star Auto Sales & Body Shop,,,,,,,
5 Star Auto Sales - Brooksville,A,,150,,,DealerTrack,
5 Star Auto Sales - Gainesville,C,16-30,35,0-5,Single,Wayne Reaves,
5 Star Auto Sales Inc,A,,150,,,,
5 Star Auto Sales- McHenry,A,31-49,70,10-Jun,Multi Point,Reynolds,
5 Star Cars LLC,B,31-49,,0-5,Single,None,
5 Star Cars LLC,D,15-Jan,10,0-5,Single,DealerSolutions (KGI),Comsoft
5 Star Cars LLC - Morrisville,D,15-Jan,10,0-5,Single,Comsoft (Money Maker),
5 Star Dealers,no rating,,,,,,
5 Star Motors,D,15-Jan,5,0-5,Single,AutoXplorer,
5 Star Truck and Auto,D,15-Jan,17,0-5,Single,None,
5Th Gear Motorz,A,50+,100,15-Nov,Single,,SkyWerks
5 Towns Drive,B,31-49,120,0-5,Single,FEX (FinanceExpress),DealerCarSearch
5udrive,D,15-Jan,15,0-5,Single,Frazer,
600 Lincoln Street Auto Sales,no rating,,,,,,
604329 Saskatchewan Ltd.,no rating,,531,,,,
605 Auto Inc.,B,31-49,80,10-Jun,Single,DealerCenter (Westlake),
60 West Auto Sales,D,15-Jan,35,0-5,Single,None,
611 Car Connection,B,31-49,20,0-5,Single,None,
613 Automotive,,,,,,,
613 Automotive Group,B,,100,,,,
6153933 Canada Inc.,no rating,,131,,,ADP,
6167 Motors,B,31-49,73,0-5,,Frazer,
62 Auto Sales - Gassville,D,15-Jan,20,0-5,Single,Frazer,
62 Auto Sales - Green Forest,D,15-Jan,12,0-5,Single,None,
62 Auto Sales LLC,C,16-30,45,10-Jun,Single,DealerCenter (Westlake),
632241 NB INC,no rating,,,,,,
636Cars.Com,C,16-30,10,0-5,Single,None,
639 Truck And Auto Ltd,,,,,,,
63 Auto Sales,B,31-49,50,0-5,,DealerCenter (Westlake),
64 & King George Motors Ltd,D,15-Jan,30,0-5,Single,None,
649 Collingwood Motors Inc,no rating,,,,,,
64 Auto Sales - Morrilton,D,15-Jan,5,0-5,Single,None,
64 Auto Sales - Van Buren,D,15-Jan,10,0-5,Single,None,
65 Mobile Home Sales,D,15-Jan,6,0-5,Single,None,
661 Autosports Inc.,no rating,,,,,,
66 Auto Sales,B,50+,,16-20,Single,Adams,
66 Motorsports,A,50+,175,0-5,Multi Point,DealerTrack,
66 Transportation Sales,D,15-Jan,30,0-5,Single,Frazer,
674 Sales LLC,D,15-Jan,10,0-5,Single,,
683659 N.B Ltd,no rating,,,,,,
68 Motors & Cycles Inc,,,,,,,
69 Auto,D,15-Jan,35,0-5,Single,None,
6 D's Auto Sales Mannford,C,16-30,30,0-5,Single,None,
6K and Under Auto Sales LLC,A,50+,150,0-5,Single,Frazer,
6th Gear Auto Sales,,,66,,,,
6th Street Auto Sales Inc.,D,15-Jan,20,0-5,Single,Other,
6th Street Motors,D,15-Jan,9,0-5,Single,None,
6V Sales And Service,B,,0,,,,
6 West Auto Sales,no rating,,,,,,
707 Auto City,no rating,,,,,,
7-11 Auto Group,B,31-49,60,10-Jun,Multi,FEX (FinanceExpress),
7-11 Used Cars,C,16-30,50,0-5,Single,Other,
717 Auto Sales,D,15-Jan,20,0-5,Single,Frazer,
71 Auto Sales,D,15-Jan,2,0-5,Single,None,
71 Motors Inc,D,15-Jan,25,0-5,Single,Other,
7255721 Canada Inc,no rating,,,,,,
7265930 Canada Inc,no rating,,,,,,
72 West Motors,C,16-30,40,0-5,,Frazer,
73 South Auto Sales,C,16-30,35,0-5,Single,Frazer,
74 Auto,,,,,,,
74 Motors,D,15-Jan,20,0-5,Single,None,
757 Auto Sales,,,,,,,
765620 Ontario inc,no rating,,,,,,
770 Cheaprides Inc,B,31-49,,0-5,Single,Frazer,
7771185 Canada Inc,no rating,,,,,Reynolds,
777 Autogroup,,,,,,,
777 Auto LLC,B,31-49,50,,Single,Frazer,
777 Auto Sales,,,,,,,
777 Auto Sales and Service,,,66,,,,
780 Cars,,,,,,,
786 AUTO SALES,no rating,,,,,,
7-C Auto Wholesalers,no rating,,,,,,
7 Cities Autos and Cycles,C,16-30,20,0-5,Single,Comsoft (Money Maker),
7E Sales LLC,A,50+,70,0-5,Single,Other,Unknown
7 Kings Auto,,,,,,,
7 Motorcars,no rating,,,,,,
7 Stars Auto,,,,,,,
7 Stars Auto Sales,C,16-30,41,0-5,Single,Other,
7th Street Auto Used Cars,no rating,,,,,,
800 Auto Sales,D,15-Jan,10,0-5,Single,None,
800 Centre St. Automotive Corp.,B,31-49,100,0-5,Single,Frazer,
802 Auto Sales,,,,,,,
802 Honda,B,0-100,172,6/10/2015 0:00,Multi,ADP,
802 Toyota,B,0-100,170,6/10/2015 0:00,Multi,ADP,
802Usedcars.Com,A,,185,15-Nov,Multi Point,AutoMate,VinSolutions
80 East Foreign Autos,no rating,,,,,,
816 Auto,,,,,,,
817 Motoring,D,15-Jan,15,0-5,Single,None,
81 Automotive Inc.,B,31-49,,0-5,Single,None,
82 Auto Parts & Wrecker Service,D,15-Jan,,0-5,Single,None,
82nd Auto Mall,B,,131,,,,
831 Motors - Prunedale,D,15-Jan,30,0-5,Single,AutoXplorer,
831 Motors - Watsonville,C,16-30,45,0-5,Single,AutoXplorer,
83 Auto Sales - North Ridgeville,B,31-49,100,0-5,Single,Frazer,
"870 Auto Sales, Inc.",D,15-Jan,10,0-5,Single,None,
87 Auto Sales,A,15-Jan,100,15-Nov,Single,AutoStar,
880 Motors,D,,,,,,
8981531 Canada Inc,no rating,,,,,Serti,
89 Speed Shop,,,,,,,
8 Street Auto Sales,C,16-30,25,0-5,Single,Other,
9020-3027 Québec Inc,no rating,,,,,,
9027-1131 Quebec Inc,no rating,,,,,,
9030-1425 Quebec Inc,no rating,,,,,,
903 Auto Sales,,,,,,,
9045-4604 Quebec Inc,A,101-175,250,10-Jun,Multi Point,CTWizard & ADP,
905 Cars And Trucks,no rating,,,,,,
9079-2052 Quebec Inc,no rating,0-100,100,10-Jun,Multi Point,ADP,CTWizard
9079-2151 Quebec Inc,A,0-100,200,10-Jun,Multi Point,CTWizard & ADP,
9087-6756 Quebec Inc,A,101-175,300,15-Nov,Multi Point,CTWizard & ADP,
90th & State Motors,C,16-30,40,0-5,Single,Frazer,
9101-2468 Quebec Inc,A,101-175,300,10-Jun,Multi Point,CTWizard & ADP,
910 Auto Sales,,,,,,,
910 Auto Sales,,,,,,,
9113-1847 QUEBEC INC,no rating,,,,,,
9117-5323 Quebec Inc.,B,0-100,80,10-Jun,Multi Point,CTWizard & ADP,
9118-5702 Quebec Inc,no rating,,,,,,
911 Sport,no rating,,,,,,
911 Sportscars,no rating,,2,,,,
9138-2499 Quebec Inc,B,0-100,50,0-5,Multi Point,CTWizard & ADP,
9147 1227 Quebec Inc,no rating,,0,,,,
9154-9477 Quebec Inc.,no rating,0-100,175,10-Jun,Multi Point,ADP,CTWizard
9163-4733 Quebec inc,no rating,,,,,,
9163-9781 Quebec Inc,no rating,,,,,,
9170-2274 Quebec Inc,A,0-100,120,10-Jun,Multi Point,CTWizard & ADP,
9179-7647 Quebec Inc,no rating,,,,,,
9196 3702 Quebec Inc,no rating,,,,,,
9196-3702 Quebec Inc.,no rating,,,,,,
9199 7098 Quebec Inc,no rating,,,,,,
9209-2030 Quebec Inc.,A,0-100,100,10-Jun,Multi Point,CTWizard & ADP,
9209-2832 Quebec Inc.,A,0-100,150,10-Jun,Multi Point,CTWizard & ADP,
9211-6409 Quebec Inc,no rating,,,,,,
9216-1819 Quebec Inc.,no rating,,,,,,
9230-9848 Quebec Inc.,no rating,,,,,,
9255-1159 Quebec Inc,B,0-100,75,0-5,Multi Point,CTWizard & ADP,
9259-7699 Quebec Inc,no rating,,,,,,
9264-1711 Quebec Inc,no rating,,,,,,
9287-1995 Quebec Inc.,A,,120,10-Jun,Multi Point,ADP,CT Wizard
9288-3461 Quebec Inc.,no rating,,,,,,
92 Auto Center Auto Sales,no rating,,,,,,
939 Auto Trade,D,15-Jan,6,0-5,Single,None,
94 Autohaus,B,31-49,50,0-5,Single,Frazer,
94 Auto Sales Inc,D,15-Jan,20,0-5,Single,None,
951 Auto Sales Inc,,,,,,,
954 Exclusive Autos,D,15-Jan,20,0-5,Single,None,
9-5 Auto In Topeka KS,,,,,,,
95 Motorsports LLC,D,15-Jan,15,0-5,Single,None,
96 Auto Sales,D,15-Jan,25,0-5,Single,None,
975002 alberta inc,no rating,,71,,,,
975002 ALBERTA INC,no rating,,,,,,
993 Sports Cars,,,,,,,
99 motors,,,,,,,
9 Palms Auto Sales,D,15-Jan,,0-5,Single,Frazer,
9 Subaru of Orange Park,B,101-175,120,11/15/2015 0:00,Multi,ADP,
9Th Avenue Automotive,D,15-Jan,20,0-5,Single,Wayne Reaves,
9Th St Auto Inc,B,31-49,47,10-Jun,Single,Frazer,
A/J AUTOMOTIVE LLC,,,,,,,
A.A. Quality Import Ltd.,no rating,,,,,,
A.C. Wheels on Credit,D,,65,0-5,Single,Other,
A. D. Farrow Co. Harley-Davidson,,,,,,,
A. Estates Inc.,,,,,,,
A.G. Birrell Co,D,15-Jan,,0-5,Single,None,
A.M.G. Auto,no rating,,,,,,
A.S.P.I. Motor Cars,no rating,,50,,,,
A.T.L. Auto Sales Inc,D,15-Jan,,0-5,Single,None,
A. Vision Motors LLC,no rating,,,,,,
A & A Auto,no rating,,,,,,
A & A Auto & R V Sales & Storage,,,,,,,
A&A Auto Brokers,,,,,,,
A & A Auto Llc,B,16-30,100,0-5,Single,None,
A & A Automotive Wholesalers,D,15-Jan,20,0-5,Single,DealerCenter (Westlake),
A&A Auto Sales,,,,,,,
A & A Auto Sales,no rating,,,,,,
A & A Auto Sales,,,,,,,
A & A Auto Sales,A,50+,200,15-Nov,Single,DealerTrack,
A & A Auto Sales,D,15-Jan,50,0-5,Single,Other,
A & A Auto Sales (SR),D,15-Jan,,0-5,Single,None,
A & A Auto Sales & Service,D,15-Jan,25,0-5,Single,None,
A & A Auto Sales Inc.,D,15-Jan,10,0-5,Single,None,
A & A Auto Sales - Pineville,no rating,,,,,,
A & A Car,no rating,,,,,,
A & A Financial LLC,,,0,0-5,Single,FEX (FinanceExpress),
A & A Motors,C,16-30,20,0-5,Single,Frazer,
A & A Truck Sale,,,,,,,
A & B Auto,C,16-30,50,0-5,Single,Other,
A & B Auto & RV Sales,D,15-Jan,15,0-5,Single,None,
A&B Auto Center Dubuque,no rating,,2,,,,
A & B Automotive,C,16-30,40,0-5,Single,None,
A & B Auto Sales - Chillicothe,D,15-Jan,15,0-5,Single,None,
A & B Auto Sales Of Jacksonville Inc.,A,50+,100,10-Jun,Single,None,
A & B Enterprises,no rating,,,,,,
A & B Ford Sales (Smith Falls),C,0-100,60,0-5,Single,PBS,
A & B Ford Sales Ltd,C,0-100,120,0-5,Single,PBS,
A & B Motors - Colorado Blvd. Lot,C,16-30,80,0-5,Multi Point,DealerCenter (Westlake),
A&B Motors Groesbeck,D,15-Jan,25,0-5,Multi Point,Frazer,
A & B Motors Inc.,A,50+,100,10-Jun,Multi Point,None,
A & B Motorsports,D,15-Jan,20,0-5,Single,Wayne Reaves,
A & B Motors - Walnut St. Lot,C,16-30,35,0-5,Multi Point,DealerCenter (Westlake),
"A & B Used Cars, Inc.",D,15-Jan,5,0-5,Single,None,
A&B Ventures dBA Credit Intelligence Agency,,,,,,,
A & C Auto,D,15-Jan,15,0-5,Single,,
A & C Auto Center,,,,,,,
A & C Auto Mart Inc,D,15-Jan,5,0-5,Single,None,
A & C Auto Sales,D,15-Jan,2,0-5,Single,None,
A & C Auto Sales LLC,,,,,,,
A & C Auto Sales LLC,D,15-Jan,,0-5,Single,None,
A & C Custom Trucks LLC,D,15-Jan,3,0-5,Single,None,
A&D Auto Group,A,,170,,Multi,,
A & D Auto Sales,no rating,,,,,,
A & D Auto Sales - Anderson,C,16-30,20,0-5,Single,Frazer,
A & D Auto Sales Inc.,D,15-Jan,,0-5,Single,Frazer,
A & D Auto Sales - Joplin,D,15-Jan,20,0-5,Single,,
A & D Auto Sales - Walterboro,C,16-30,20,0-5,Single,Frazer,
A & D Bourget Auto Inc,no rating,,,,,,
A & D Brennen Motor Sales,no rating,,,,,,
A & D Electrical Supply,,,,,,,
A & D Motors Inc.,A,50+,50,10-Jun,Single,Frazer,
"A & D Motors Sales, Corp",no rating,,,,,FEX (FinanceExpress),
A & D Premier Auto LLC,,,,,,,
A & E Auto Brokers Inc,no rating,,,,,,
"A&E Automotive, LLC",,,,,,,
A & E Automotive Inc.,D,15-Jan,50,,,,
A & E Automotive Sales,no rating,,,,,,
A & E Automotive Service,D,15-Jan,5,0-5,Single,None,
A & E Auto Sales,C,16-30,60,0-5,Single,Frazer,
A & E Auto Sales - Albuquerque,C,16-30,20,0-5,Single,None,
A & E Auto Sales And Repair,C,16-30,80,0-5,Single,Wayne Reaves,
A&E Classic Cars,no rating,,,,,,
A & F Auto Sales,no rating,,,,,FEX (FinanceExpress),
A & F Auto Sales,A,15-Jan,25,0-5,Single,AutoStar,
A & F Auto Sales - Manassas,C,16-30,55,0-5,Single,Frazer,
A & F Poisson Autos,no rating,,,,,,
A & G Auto Inc,,,,,,,
A & G Auto Sales,A,31-49,150,,,AutoStar,
A & G Auto Sales Center,no rating,,,,,,
A & G Auto Sales - Lawton,C,16-30,80,0-5,Single,Frazer,
A & G Auto Wholesale,no rating,,,,,,
A & G Auto Wholesale,B,31-49,50,0-5,Single,Frazer,
A & G Turf Equipment,,,,,,,
"A & G Turf Equipment, Inc.",,,,,,,
A&H Auto,,,,,,,
A & H Auto Gallery,D,15-Jan,30,0-5,Single,Other,
A & H Auto Sales,C,16-30,30,0-5,Single,Frazer,
A & H Implement Co,D,,25,0-5,Single,None,
A & H Motors,C,16-30,20,0-5,Single,DealerCenter (Westlake),
A & H Motors Used Cars,no rating,,,,,,
A & H Quality Cars INC,C,16-30,30,0-5,Single,Frazer,
A & I Auto Inc,D,15-Jan,,0-5,Single,None,
A & J Auto,D,15-Jan,10,0-5,Single,None,
A & J Auto,no rating,,,,,,
"A&J Auto Brokers, Inc",,,,,,,
A & J Auto Sales,no rating,,,,,,
A & J Auto Sales - Bruce,no rating,,,,,,
A & J Auto Sales - Stockton,no rating,,,,,,
A & J Auto Sales - Titusville,no rating,,,,,,
A & J Mobility Inc/Mobility Express,D,15-Jan,10,10-Jun,Single,None,
A & J Motors,D,15-Jan,30,0-5,Single,None,
A & J Motors Inc.,no rating,15-Jan,,,,,
A & J Motors Inc.,no rating,,,,,,
A & J Motors Llc - Marshfield,no rating,,,,,,
A & J Used Car Sales,D,15-Jan,10,0-5,Single,None,
A&J Vans,D,15-Jan,15,0-5,Multi Point,Other,Business Works
A&J Vans,D,15-Jan,15,0-5,Multi Point,Other,Business Works
A&J Vans,D,15-Jan,15,0-5,Multi Point,Other,Business Works
A&J Vans,D,15-Jan,15,0-5,Multi Point,Other,Business Works
A&J Vans,D,15-Jan,15,0-5,Multi Point,Other,Business Works
A & K 88 Auto Sales,no rating,,,,,,
A & K Auto,,,,,,,
A & K Auto Sales - Cortland,D,15-Jan,20,0-5,Single,None,
A & K Auto Sales - Denham Springs,no rating,,,,Single,None,
A&K Auto Sales - Fontana,C,16-30,50,0-5,Multi Point,AutoManager (DeskManager),
A & K Auto Sales - Greenville,C,16-30,55,0-5,Single,DealerCenter (Westlake),
A&K Auto Sales - Ontario,B,31-49,90,0-5,Multi Point,AutoManager (DeskManager),
A & L Auto Sales,,,,,,,
A & L Auto Sales,D,15-Jan,25,0-5,Single,DealerCenter (Westlake),
A & L BMW,C,0-100,251,,Single,,
A & L Family Auto Sales,no rating,,32,,,,
A&L Imports,C,16-30,45,0-5,Single,AutoManager (DeskManager),
A & M #1 Auto Sales,D,15-Jan,10,0-5,Single,Other,
A&M Auto Group,,,,,,,
A&M AUTOMALL,,,,,,,
A & M Automotive LLC,,,,,,,
A & M Automotive Specialists,no rating,,,,,,
A & M Auto Sales,D,15-Jan,15,0-5,Single,Other,
A & M Auto Sales,no rating,,,,,,
A&M Auto Sales and Service SUSPENDED,D,15-Jan,10,0-5,Single,Frazer,
A & M Auto Sales Inc.,D,15-Jan,30,0-5,Single,Frazer,
A & M Auto Wholesellers,,,,,,,
A & M Car Co,no rating,,,,,,
A & M Enterprises LLC,no rating,,,,,,
A & M Finance,no rating,,,,,,
"A&M Finance, LLC.",no rating,15-Jan,,,,,
A & M Mobility LLC,C,15-Jan,30,10-Jun,Single,None,
A & M Motor,D,15-Jan,35,0-5,Single,Other,CarsPlus
A & M Motors,,,,,,,
"A & M Motors, Inc.",D,15-Jan,20,0-5,Single,FEX (FinanceExpress),
A & M Motors - Chandler,C,16-30,10,0-5,Single,None,
A & M Motorsports Inc.,B,31-49,50,0-5,Single,Frazer,
A & M Truck Center,D,15-Jan,43,0-5,Single,None,
A & N Auto Sales Inc,A,50+,100,0-5,Single,,
A & P Auto,no rating,,,,,,
A & P Automotive,D,15-Jan,10,0-5,Single,None,
A & P Auto Sales,D,15-Jan,15,0-5,Multi Point,None,
A & P Auto Sales,A,16-30,55,0-5,Single,DealerTrack,
A & P Auto Services Inc.,B,,100,,,,
A & R Auto Sales,no rating,,,,,,
"A & R Auto Sales, Inc.",D,15-Jan,40,0-5,Multi Point,Other,
A & R Auto Sales #3,B,31-49,40,0-5,Single,,
A&R Auto Sales Inc,D,15-Jan,30,0-5,Single,None,
A & R Auto Sales Inc.,D,15-Jan,20,0-5,Single,Other,unknown
A&R Motors,C,16-30,50,,,,
A&R Motors,C,16-30,57,,,FEX (FinanceExpress),
A & S Auto & Truck Sales,C,16-30,63,0-5,,Frazer,
A & S Auto Sales,D,15-Jan,20,0-5,Single,None,
A & S Auto Sales LLC - Charlotte,D,15-Jan,30,0-5,Single,Wayne Reaves,
A & S Auto Sales LLC - Toledo,C,16-30,20,0-5,Single,None,
A & S BMW Motorcycles,,,,,,,
A & S Grand Autos,B,,105,0-5,Single,FEX (FinanceExpress),
A & S Mechanical,no rating,,,,,,
A & S RV Center - Auburn Hills,A,0-100,150,31-40,Multi,ADP,
A & S RV Center - Midland,A,0-100,150,15-Nov,Multi,ADP,
A & T Auto Care Inc.,,,,,,,
A & T Auto Center LLC,D,15-Jan,20,0-5,Multi,None,
A & T Auto Sales LLC,no rating,,,,,,
A & T Auto Sales LLC,no rating,,,,,,
A & T Auto Sales LLC - Columbia,C,16-30,40,0-5,,None,
A & T Auto Sales - Willard,no rating,,,,,,
A & T Car Sales,D,15-Jan,10,0-5,Single,None,
A & T Chevrolet Inc,A,101-175,176,6/10/2015 0:00,Multi,DealerTrack,
A & T Enterprises,no rating,,,,,,
A & T Leasing,no rating,,,,,,
A & V AUTO SALES LLC,,,,,,,
A&V Motors,no rating,15-Jan,,,,,
A & W Auto,D,15-Jan,5,0-5,Single,Frazer,
A&W Auto Sales,no rating,,,,,,
A & W Auto Sales,no rating,,,,,,
A & W Motors,,,,,,,
"A & W Motors, LLC",no rating,,,,,,
"A & W Sales, Llc.",D,15-Jan,15,0-5,Single,None,
A & Z Auto Sales - 9th Street,D,15-Jan,10,0-5,Single,None,
A & Z Auto Sales - Gardner Avenue,D,15-Jan,15,0-5,Single,,
A & Z Import Auto Sales,C,16-30,10,0-5,Single,Frazer,
A & Z Motorcars,no rating,,,,,,
"A+ Auto, Inc.",,,,,,FEX (FinanceExpress),
A+ Autobrokers Heath,A,31-49,50,0-5,Multi,ADP,
A+ Autobrokers Mount Vernon,A,50+,50,16-20,Multi,ADP,
A+ Automotive,,,,,,,
A+ Automotive,D,15-Jan,30,0-5,Single,,
A+ Automotive Sales,D,15-Jan,25,0-5,Single,Other,All Data Repair
A+ Auto Sales,B,31-49,57,0-5,Single,Wayne Reaves,
A+ Auto Sales,C,16-30,75,0-5,Multi Point,Frazer,
A+ Auto Sales LLC,B,,100,,,,
A + Deluxe Auto Detailing,,,,,,,
A + L2O,D,15-Jan,5,0-5,Single,None,
A1 Auto,,,,,,,
A1 Auto's & Trucks,,,,,,,
A1 Auto & Cycle Salvage,,,,,,,
A-1 Auto & Truck Inc.,B,31-49,65,0-5,Single,Other,Management System Plus (MSP)
A-1 Auto & Truck Sales Inc,D,15-Jan,30,0-5,Single,Wayne Reaves,
A1 Auto Charlotte,C,16-30,60,0-5,Single,Wayne Reaves,
A-1 Auto - Grand Meadow,no rating,,,,,,
"A-1 Auto Group, LLC",no rating,,,,,,
A-1 Auto Inc,,,,,,,
A-1 Auto Inc,,,,,,,
A-1 Auto - Kingshighway,D,15-Jan,5,0-5,Single,None,
A-1 Auto - Pepperell,,,50,,,,
A-1 Auto Plex LLC,D,15-Jan,35,0-5,Single,DealerCenter (Westlake),
"A-1 AUTOS, INC",D,15-Jan,30,,,,
A1 Auto Sales,no rating,,,,,,
A-1 Auto Sales,no rating,,,,,,
A-1 Auto Sales,D,15-Jan,35,0-5,Multi Point,Other,CarsPlus
A-1 Auto Sales,D,15-Jan,11,0-5,Single,Other,
A-1 Auto Sales,,,,,,,
A-1 Auto Sales,no rating,,73,,,,
A1 Auto Sales (On 8),,,,,,,
A-1 Auto Sales & Wrecker Services,D,15-Jan,30,0-5,Single,None,
A-1 Auto Sales - Anderson,C,16-30,55,0-5,Single,Wayne Reaves,
A-1 Auto Sales and Loan,D,15-Jan,21,0-5,Single,AutoManager (DeskManager),
A1 Auto Sales and Services - Titusville,D,15-Jan,20,0-5,Single,None,
A1 Auto Sales and Service - Waterford,C,16-30,40,0-5,Multi Point,None,
A1 Auto Sales and Trade,D,15-Jan,35,0-5,Single,DealerCenter (Westlake),
A1 Auto Sales - Athens,D,15-Jan,35,0-5,Single,Frazer,
A-1 Auto Sales - Aurora,C,16-30,50,0-5,Single,None,
A1 Auto Sales - Chambersburg,,,,,,,
A-1 Auto Sales - Conroe,D,15-Jan,17,0-5,Single,,
A-1 Auto Sales - Hudson Falls,D,15-Jan,10,0-5,Single,None,
A-1 Auto Sales Inc,D,15-Jan,12,0-5,Single,,
A-1 Auto Sales - Kennett,no rating,,,,,,
A-1 Auto Sales Llc,no rating,,,,,,
A-1 Auto Sales LLC.,,,658,,,,
A1 Auto Sales - Mobile,C,16-30,85,0-5,Single,Wayne Reaves,
A1 Auto Sales - Norwalk,D,15-Jan,20,0-5,Single,Frazer,
A-1 Auto Sales Of Demorest LLC,B,31-49,,16-20,Single,Frazer,
A1 Auto Sales of Dulles,D,15-Jan,20,0-5,Single,AutoManager (DeskManager),
A-1 Auto Sales - Palestine,D,15-Jan,10,0-5,Single,None,
A-1 Auto Sales - Russellville,D,15-Jan,10,0-5,Single,Other,
A-1 Auto Sales - Van Buren,D,15-Jan,,0-5,Single,None,
A1 Auto Sales - Winchester,A,31-49,124,,,DealerTrack,
A-1 Autos-Safford,D,15-Jan,35,0-5,Single,None,
A1 Auto Trader,no rating,,,,,,
A-1 Auto Trader LLC,D,15-Jan,,0-5,Single,Frazer,
A-1 Auto Wholesale,D,15-Jan,50,0-5,Single,None,
A1 Brightside Auto LLC,D,15-Jan,5,0-5,Single,None,
A1 Car Brokers Inc.,D,15-Jan,,0-5,Single,None,
A-1 Cars,D,15-Jan,10,0-5,Single,None,
A1 Carz Inc,C,16-30,75,0-5,Single,AutoManager (DeskManager),
A-1 Golf Cart Express,,,,,,,
A-1 Import Cars,,16-30,88,0-5,Single,Other,Tracker Plus
A-1 Johnson Auto Wrecking,,,,,,,
A1 Ken Phillips,D,15-Jan,15,0-5,Single,None,
A1 Luxury Motors,,,,,,,
A1 Motor Co,C,16-30,70,0-5,Single,Other,Autoaction
A1 Motors,,,,,,,
A1 Motors,C,16-30,40,0-5,Multi Point,Frazer,DealerCenter
A-1 Motors,D,15-Jan,,0-5,,FEX (FinanceExpress),
A1 Motor Sales,A,,351,,,,
A-1 Motors Inc,D,15-Jan,,,,,
A-1 Motors Inc,D,15-Jan,25,0-5,Single,None,
A-1 Motors Inc.,C,16-30,50,0-5,Single,None,
A-1 Motor Used Cars Sales,,,,,,,
A-1 Quality Used Cars,,,,,,,
A-1 Sales - Kinston,B,31-49,,0-5,Single,None,
A-1 Toyota,no rating,,305,,,,
A-1 Used Auto,D,15-Jan,,0-5,Single,Wayne Reaves,
A-1 Used Cars & Trucks,D,15-Jan,2,0-5,Single,None,
A-1 Used Cars Inc,no rating,,,,,,
A-1 Used Cars Inc,,,,,,,
A-1 Used Cars LLC,B,31-49,50,0-5,Single,None,
A-1 Used Cars - Marion,D,15-Jan,,0-5,Single,None,
A-1 Used Cars - South Sioux City,D,15-Jan,25,0-5,Single,None,
A-1 Used Cars - Victoria,A,16-30,250,0-5,Single,None,
A1 Vacation Land,,,,,,,
A-1 Van Rental & Leasing,,,,,,,
A1 Wheels & Deals,C,16-30,40,0-5,Single,,
A-2 Auto Sales,C,16-30,50,0-5,Multi Point,DealerCenter (Westlake),
A2Z Auto LLC,D,15-Jan,30,0-5,Single,Wayne Reaves,
A2Z Auto Sales,D,15-Jan,15,0-5,Single,None,
A 2 Z Motors,no rating,,,,,FEX (FinanceExpress),
A 31 Auto Sales,no rating,,,,,,
"A7AUTO.com, LLC",D,15-Jan,15,0-5,Single,Frazer,
AA 1 Auto Sales LLC,D,15-Jan,25,0-5,Single,None,
AAAA AUTO SALES,,,,,,,
AAA Auto Group,D,15-Jan,15,0-5,Single,None,
AAA Auto Sales,,,,,,,
Aaa Auto Sales - Carbondale,D,15-Jan,15,0-5,Single,None,
Aaa Auto Sales - Farmington,D,15-Jan,35,0-5,Single,None,
AAA Auto Sales Inc,D,15-Jan,20,0-5,Single,None,
AAA Auto Sales LLC - Douglasville,B,31-49,,,Single,,
"AAA Auto Sales of Grand Rapids, Inc.",A,31-49,150,0-5,Single,DealerTrack,
Aaa Auto Wholesale,no rating,,,,,,
Aaa Auto Wholesale Ltd,no rating,,,,,,
AAA Best Car Dealer,D,15-Jan,6,0-5,Single,None,
AAA Best Cars LLC,no rating,,,,,,
AAA Bus LLC,D,15-Jan,30,0-5,Single,None,
AAA Buy Here Pay Here,,,,,,,
Aaa Car Guyz Garage,no rating,,,,,,
AAA Colorado Autosource,A,101-175,,0-5,Multi,DealerTrack,
AA Advantage Autos,D,15-Jan,20,0-5,Single,Wayne Reaves,
"AAA Mid Atlantic, Inc.",A,31-49,50,0-5,Single,DealerTrack,
AAA Motors,,,,,,,
AAA Motors Inc,,,,,,,
AAA Motors Inc.,,,,,,,
AAA Motorsports,D,15-Jan,20,0-5,Single,Frazer,
AAA Oregon AutoSource,,,,,,,
AAA Oregon Auto Source LLC,A,50+,18,10-Jun,Single,DealerTrack,
AAA-Palmetto Auto Sales & Service,,,,,,FEX (FinanceExpress),
AAA Power Sports,A,50+,140,,,,
Aaa Truck,no rating,,,,,,
AA Auto Sales,no rating,,0,0-5,Single,None,
A A Auto Sales - Independence,C,16-30,20,0-5,Single,None,
AA Auto Sales LLC,D,15-Jan,20,0-5,Single,Other,V12
Aa Auto Sales Llc,B,31-49,80,0-5,Single,,
Aable Auto Sales,B,15-Jan,120,0-5,Single,None,
Aa Budget Auto Sales,no rating,,,,,,
A A Car World Inc,no rating,,,,,,
Aadlen Bros Auto Wrecking,D,15-Jan,5,0-5,Single,None,
A Advantage Auto Group,no rating,,,,,FEX (FinanceExpress),
A-AFFORDABLE AUTOS,A,,100,0-5,Single,FEX (FinanceExpress),
Aag Las Vegas Llc,A,101-175,298,11/15/2015 0:00,Single,Reynolds,
